Period,Sd,Sa
1.57,2.844011080544466,0.04643256855678981
1.58,2.847184898707649,0.045897837811219075
1.59,2.849319967296262,0.045356308671513176
1.6,2.8503814867174655,0.044807813560923684
1.61,2.8599665021019187,0.044401733277338255
1.62,2.8688693416505773,0.04399177340123039
1.6300000000000001,2.877069624353984,0.04357785930230108
1.6400000000000001,2.8845464413705413,0.04315991381291736
1.6500000000000001,2.891278333560676,0.042737857104167054
1.6600000000000001,2.897243267673791,0.042311606553933595
1.67,2.902418611084498,0.0418810766063518
1.68,2.906781104964795,0.041446178621940354
1.69,2.910306835767995,0.04100682071763812
1.7,2.9129712048882577,0.04056290759589532
1.71,2.921208321863491,0.040203238446404915
1.72,2.9287158505435547,0.03983924259147825
1.73,2.935470977216028,0.03947083500404084
1.74,2.941450237855294,0.03909792762597955
1.75,2.9466294889316043,0.03872042921279199
1.76,2.9509838763716085,0.03833824516771783
1.77,2.954487802520131,0.037951277364460176
1.78,2.957114890938196,0.03755942395751638
1.79,2.9588379488555216,0.03716257917903372
1.8,2.959628927077076,0.03676063312099179
1.81,2.967894380047905,0.03645709173330447
1.82,2.9754915588544057,0.0361498646788359
1.83,2.982400243198163,0.03583888386930717
1.84,2.988599661123368,0.03552407891781918
1.85,2.994068465606888,0.03520537702729252
1.86,2.9987847097450344,0.034882702871754996
1.87,3.002725820429111,0.03455597846990303
1.8800000000000001,3.005868570391767,0.034225123050308455
1.8900000000000001,3.0081890484948555,0.03389005290758004
1.9000000000000001,3.0096626281170447,0.03355068124872087
1.9100000000000001,3.017552445296627,0.03328731928920539
1.92,3.024764166648742,0.03302020699210987
1.93,3.031276684238484,0.032749275022364105
1.94,3.0370682905440205,0.03247445168127702
1.95,3.0421166526205665,0.032195662790474554
1.96,3.046398784691999,0.0319128315682998
1.97,3.0498910190473856,0.03162587849806267
1.98,3.0525689751080547,0.03133472118746677
1.99,3.054407526517762,0.031039274218474192
2.0,3.0553807660938426,0.03073944898679262
2.0100000000000002,3.0640561763255203,0.030520759581976996
2.02,3.071972990054199,0.03029740157859296
2.0300000000000002,3.07910424504317,0.03006928116366907
2.04,3.085422103455785,0.029836301073222448
2.05,3.090897810394916,0.029598360407811355
2.06,3.095501649678314,0.02935535443503333
2.07,3.099202896613296,0.029107174377808562
2.08,3.1019697675097584,0.02885370718716679
2.09,3.1037693656423726,0.028594835298113422
2.1,3.1045676233417647,0.02833043636699412
2.11,3.114741071281924,0.028154496710038845
2.12,3.124147596087219,0.02797374108052567
2.13,3.132758006729611,0.027788069159894412
2.14,3.140542122959359,0.02759737694024371
2.15,3.14746872771244,0.02740155652459737
2.16,3.1535055163021584,0.027200495912875624
2.17,3.158619042116134,0.026994078772286906
