,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,he4,hi4,b4,h4,T,Weight,Mstar,Part Factor
49,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,1.4766988224911308,253.4146728515625,124.44025540517761,1.2895701067938008
50,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,1.4462475222396405,258.2896728515625,126.28187543128625,1.2886318667036734
51,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,1.4382983993654086,263.1646728515625,128.56093301068478,1.2725257629851974
52,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,1.4174011994031401,263.9146728515625,125.60528247458568,1.2985089248769768
53,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,1.4091395204076336,268.7896728515625,127.97800695336075,1.2818048972986038
54,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,1.3916074404212972,274.4146728515625,128.93785208541243,1.282116559873597
55,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,1.3863911485424758,280.0396728515625,130.28166916576112,1.2730100916529776
56,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.25,0.25,0.45,1.3851398510175943,271.7896728515625,120.64956940560175,1.321089023814768
57,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,1.3698409690515443,275.9146728515625,125.14599920534762,1.2890758805013383
58,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,1.3370682569475936,280.7896728515625,127.485711114039,1.2867273416174427
59,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,1.328926520682988,285.6646728515625,130.24633252969113,1.2670506572177884
60,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,1.304929418522669,286.4146728515625,126.76279066187202,1.2983402934118993
61,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,1.296421945778672,291.2896728515625,129.66293437487906,1.2777623321282485
62,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,1.2776499095203346,296.9146728515625,131.06541161498322,1.2762497589128985
63,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,1.2725940232774375,302.5396728515625,132.7715658724395,1.2644038633417796
64,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.25,0.25,0.5,1.3086874028476025,294.2896728515625,120.51882619188474,1.3251089252242145
65,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,1.2929100412194037,298.4146728515625,125.50555357736495,1.289615408606378
66,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,1.25798714944162,303.2896728515625,128.2811767207797,1.286161877829033
67,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,1.2495175188563392,308.1646728515625,131.49228553855693,1.2632090612466251
68,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,1.222758675505776,308.9146728515625,127.51863422631799,1.2994325522157117
69,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,1.2138701532866614,313.7896728515625,130.92143674444293,1.2752339126131123
