IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
1.1500000000000001,0.047553367781418235,0.13740905050805785,1297.997306745086,73950.88197210687,75248.87927885196,26720.99209085538,101969.87136970734,1381.858295747385,54702.40727393109,56084.26556967847,58243.07747501443,114327.3430446929,2679.855602492471,128653.28924603795,131333.14484853044,84964.06956586981,216297.21441440022,2201.693911206573,105697.9201887784,107899.61409998499,69804.08737714172,2201.693911206573,175502.00756592012,177703.70147712668,91470.79700488289,33235.92372440038,302410.42220641
1.2000000000000002,0.05985440647373759,0.14250839976699758,1655.1585807308998,77416.47691476792,79071.63549549882,28419.465318351315,107491.10081385013,1313.3391811422182,56935.72982747192,58249.06900861414,59578.014313640735,117827.08332225488,2968.497761873118,134352.20674223982,137320.70450411295,87997.47963199206,225318.184136105,2393.1047851230883,108310.30866057402,110703.41344569711,70940.65971375753,2393.1047851230883,179250.96837433154,181644.07315945462,93640.13955555682,41833.34600557432,317117.5587205858
1.2500000000000002,0.07387061847098927,0.14751838384789123,2760.603667193018,82116.32604909201,84876.92971628503,30373.422899393525,115250.35261567855,1564.7737064945027,61093.5089178068,62658.282624301304,61089.76436383067,123748.04698813197,4325.377373687521,143209.8349668988,147535.21234058632,91463.18726322419,238998.3996038105,3414.921215752959,113065.3493283551,116480.27054410808,72210.94292156311,3414.921215752959,185276.29224991822,188691.21346567117,95487.00732590437,51629.534468754275,335807.7552603298
1.3,0.0895762726310324,0.15244171891470693,3583.170741148265,86032.95903341756,89616.12977456582,32288.97087810597,121905.1006526718,2030.0638485468548,64071.32117193374,66101.3850204806,62578.41516936991,128679.8001898505,5613.234589695119,150104.2802053513,155717.51479504642,94867.38604747588,250584.9008425223,4331.3804501282875,115826.0418967008,120157.42234682909,73203.20124071784,4331.3804501282875,189029.24313741864,193360.62358754693,97000.47901753311,62606.50514524496,352967.607750325
1.35,0.10691286076212941,0.15728103359022555,4348.6911458671075,89520.67196188984,93869.36310775694,33918.106501111084,127787.46960886804,2612.1287277653273,67449.48723286191,70061.61596062724,63744.14917935389,133805.76513998111,6960.819873632435,156970.15919475176,163930.9790683842,97662.25568046496,261593.23474884915,5238.862491910298,118139.11209936834,123377.97459127865,73502.71052090125,5238.862491910298,191641.8226202696,196880.6851121799,98174.04017494651,74723.36558329027,369778.09087041666
1.4000000000000001,0.1257929031246321,0.16203886615560992,4566.986887822141,91439.55709265858,96006.54398048072,35678.62947434254,131685.17345482326,3526.6048088488865,70270.4236557475,73797.02846459638,64902.32912308701,138699.3575876834,8093.591696671028,161709.9807484061,169803.57244507712,100580.95859742955,270384.5310425067,5928.973305245821,118460.90030010635,124389.8736053522,73680.73914396696,5928.973305245821,192141.6394440733,198070.61274931915,99005.65411626371,87918.97458322287,384995.2414488057
1.4500000000000002,0.1461044227471106,0.16671766363231078,5896.5146903696,93342.7600870707,99239.2747774403,37265.83821552146,136505.11299296175,4364.034032684396,71536.87895386163,75900.91298654603,65846.75648211568,141747.6694686617,10260.548723053997,164879.63904093232,175140.18776398632,103112.59469763713,278252.7824616234,7300.75083895906,117317.81560090536,124618.56643986441,73368.33365983504,7300.75083895906,190686.1492607404,197986.90009969947,99497.65692905893,102115.06937933415,399599.62640809256
1.5000000000000002,0.16771575770814984,0.17131978221631494,17600.15102007183,108382.98025350238,125983.13127357421,38500.125405522514,164483.25667909672,17751.96117540219,90355.97529958402,108107.93647498621,66687.75321940749,174795.68969439372,35352.11219547402,198738.95555308642,234091.06774856042,105187.87862493,339278.94637349044,24382.262947028834,137069.75824583412,161452.02119286297,72547.81556734102,24382.262947028834,209617.57381317514,233999.83676020397,99656.5067577071,117219.62903216775,450875.97255007876
1.55,0.1904804326484752,0.17584748867356698,23802.981006550835,115856.33614614303,139659.31715269387,39846.57039486893,179505.8875475628,23402.393138984313,97663.70674285294,121066.09988183726,67724.5332383868,188790.63312022405,47205.37414553515,213520.04288899596,260725.41703453113,107571.10363325573,368296.5206677868,31493.895439405424,142453.6512353739,173947.54667477933,71767.95336231084,31493.895439405424,214221.60459768475,245715.50003709018,99492.42016085499,133130.27921798005,478338.19941592525
1.6,0.2142418682479274,0.18030296240695037,27069.27290141728,119586.60273982248,146655.87564123975,41032.736117972134,187688.61175921187,26412.833558807695,102311.19738919253,128724.03094800023,68397.23453366924,197121.26548166946,53482.106460224975,221897.800129015,275379.90658923995,109429.97065164137,384809.8772408813,34446.94835236235,142920.7367931867,177367.68514554904,70482.05085267244,34446.94835236235,213402.78764585912,247849.73599822147,99018.92806354295,149737.58376885223,496606.24783061666
