,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,T,Weight,Mstar,Part Factor
77,0.3,0.44999999999999996,0.25,0.5,0.3,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.8137067592637592,246.62209203125,94.62607477447963,1.2907288492428137
78,0.3,0.44999999999999996,0.25,0.5,0.3,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.8027967462839101,252.24709203125,97.46827692124808,1.2695410783408643
79,0.3,0.44999999999999996,0.25,0.5,0.3,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.7864051398067085,258.62209203124996,97.54298215243796,1.2778282648591532
80,0.3,0.44999999999999996,0.25,0.5,0.3,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.7796758243752109,264.99709203124996,99.29668184840244,1.264678982322155
81,0.3,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.791044683433707,263.4728490625,95.01588368164732,1.2824179389716448
82,0.3,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7805174983479003,269.0978490625,97.994073692649,1.259685212455405
83,0.3,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7578697411535972,275.4728490625,98.32161758196463,1.2698251119488788
84,0.3,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.7512157850112244,281.8478490625,100.24076977327155,1.2551501838343555
85,0.3,0.44999999999999996,0.25,0.55,0.3,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.7694103178374259,263.49709203125,95.22376736673255,1.2901637796303949
86,0.3,0.44999999999999996,0.25,0.55,0.3,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7579778991424555,269.12209203125,98.5664892154251,1.2649277261584286
87,0.3,0.44999999999999996,0.25,0.55,0.3,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7404211177662762,275.49709203125,98.79468152139997,1.2732704227693732
88,0.3,0.44999999999999996,0.25,0.55,0.3,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.7335188617520464,281.87209203125,100.92945081271867,1.2568866359683382
89,0.3,0.44999999999999996,0.3,0.4,0.3,0.39999999999999997,0.3,0.4,0.3,0.35,0.3,0.4,0.9001526108627212,239.896335,94.95452704914345,1.2811934412471178
90,0.3,0.44999999999999996,0.3,0.4,0.3,0.39999999999999997,0.3,0.4,0.3,0.39999999999999997,0.3,0.4,0.891628950224913,245.521335,96.65751189993429,1.2687340109775098
91,0.3,0.44999999999999996,0.3,0.4,0.3,0.44999999999999996,0.3,0.4,0.3,0.39999999999999997,0.3,0.4,0.8761541660959502,251.896335,96.6532914394303,1.2758471566731027
92,0.3,0.44999999999999996,0.3,0.4,0.3,0.44999999999999996,0.3,0.4,0.3,0.44999999999999996,0.3,0.4,0.87032169711261,258.271335,97.6346014469175,1.268943717826546
93,0.3,0.44999999999999996,0.3,0.45,0.3,0.39999999999999997,0.3,0.45,0.3,0.35,0.3,0.45,0.8290100320802788,260.146335,96.28840491445659,1.2765828150815806
94,0.3,0.44999999999999996,0.3,0.45,0.3,0.39999999999999997,0.3,0.45,0.3,0.39999999999999997,0.3,0.45,0.8205354047100356,265.771335,98.41514747135035,1.2604773322353893
95,0.3,0.44999999999999996,0.3,0.45,0.3,0.44999999999999996,0.3,0.45,0.3,0.39999999999999997,0.3,0.45,0.8037438256938245,272.146335,98.5830526813374,1.267743152540921
96,0.3,0.44999999999999996,0.3,0.45,0.3,0.44999999999999996,0.3,0.45,0.3,0.44999999999999996,0.3,0.45,0.7981700972638816,278.521335,99.89419051324516,1.2579541396117224
97,0.3,0.44999999999999996,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.3,0.35,0.3,0.5,0.7763471803057738,280.39633499999997,97.28188475218356,1.2734945731529193
98,0.3,0.44999999999999996,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.7677597561120146,286.02133499999997,99.807063245937,1.2539951805341047
99,0.3,0.44999999999999996,0.3,0.5,0.3,0.44999999999999996,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.7497477836608325,292.39633499999997,100.17024061036292,1.2611267745521737
100,0.3,0.44999999999999996,0.3,0.5,0.3,0.44999999999999996,0.3,0.5,0.3,0.44999999999999996,0.3,0.5,0.7442642038115179,298.77133499999997,101.80272694225867,1.248520666327904
101,0.3,0.44999999999999996,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.3,0.35,0.3,0.55,0.7368552379047163,300.646335,98.01965233086126,1.2714798717119833
102,0.3,0.44999999999999996,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.728073498794599,306.271335,100.91108722036775,1.2488982125081505
103,0.3,0.44999999999999996,0.3,0.55,0.3,0.44999999999999996,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.7089128163408739,312.646335,101.47212131929649,1.2557251934571534
104,0.3,0.44999999999999996,0.3,0.55,0.3,0.44999999999999996,0.3,0.55,0.3,0.44999999999999996,0.3,0.55,0.7034026649201854,319.021335,103.41194571882747,1.2404464537643018
105,0.3,0.44999999999999996,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.3,0.35,0.3,0.6,0.7068538270461988,320.89633499999997,98.56763649198707,1.2702030914705866
106,0.3,0.44999999999999996,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.6978474280132315,326.52133499999997,101.78914180193844,1.2448740124140676
107,0.3,0.44999999999999996,0.3,0.6,0.3,0.44999999999999996,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.6776094541981489,332.89633499999997,102.5389968564837,1.251307107262288
108,0.3,0.44999999999999996,0.3,0.6,0.3,0.44999999999999996,0.3,0.6,0.3,0.44999999999999996,0.3,0.6,0.6720050921355051,339.27133499999997,104.76785103188942,1.2335419681120852
109,0.3,0.49999999999999994,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.8994243250512928,233.16034906249996,91.1866819860318,1.2939401062528266
110,0.3,0.49999999999999994,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.8923295667591548,239.53534906249996,92.0729243321534,1.2883419544960697
111,0.3,0.49999999999999994,0.25,0.4,0.3,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.8808555284851863,233.18459203125,91.20022680355099,1.2993764399566246
112,0.3,0.49999999999999994,0.25,0.4,0.3,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.873836487673384,239.55959203124996,92.22367741830158,1.292718571876616
113,0.3,0.49999999999999994,0.25,0.4,0.3,0.49999999999999994,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.8646557616427956,246.68459203124996,92.03612645756135,1.2985242538688224
114,0.3,0.49999999999999994,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.8239187677405352,250.0353490625,92.58272495159491,1.2886290183938243
115,0.3,0.49999999999999994,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.8168488403886035,256.4103490625,93.83392487540547,1.2800444342767279
116,0.3,0.49999999999999994,0.25,0.45,0.3,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.8043231746284016,250.05959203124996,92.67164224084905,1.294495857405202
117,0.3,0.49999999999999994,0.25,0.45,0.3,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.7971527297503911,256.43459203124996,94.0947440163336,1.2846144295303528
118,0.3,0.49999999999999994,0.25,0.45,0.3,0.49999999999999994,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.7870004345422331,263.55959203124996,93.92050288408272,1.2912936234843104
119,0.3,0.49999999999999994,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.7651640868602454,266.91034906249996,93.6680417227995,1.2848775279621467
120,0.3,0.49999999999999994,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.7580147636484699,273.28534906249996,95.29498274669051,1.2731597224607438
121,0.3,0.49999999999999994,0.25,0.5,0.3,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.7454324601785053,266.93459203124996,93.82909551811824,1.290952127728532
122,0.3,0.49999999999999994,0.25,0.5,0.3,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.7380378274243414,273.30959203124996,95.66249410713641,1.2777071260220945
123,0.3,0.49999999999999994,0.25,0.5,0.3,0.49999999999999994,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.7269314377439017,280.43459203124996,95.5558122374951,1.2849582800162234
124,0.3,0.49999999999999994,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7188359144737263,283.7853490625,94.51376108774966,1.2823327348701599
125,0.3,0.49999999999999994,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.7115017338474839,290.1603490625,96.51712544015797,1.2674669174637554
126,0.3,0.49999999999999994,0.25,0.55,0.3,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.6995914632939222,283.80959203124996,94.73422220153684,1.2884640844204354
127,0.3,0.49999999999999994,0.25,0.55,0.3,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.6919125508743265,290.18459203124996,96.9753329855928,1.2718641812503577
128,0.3,0.49999999999999994,0.25,0.55,0.3,0.49999999999999994,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.6798681886923564,297.30959203124996,96.97126291240878,1.2794390336512202
129,0.3,0.49999999999999994,0.3,0.4,0.3,0.44999999999999996,0.3,0.4,0.3,0.39999999999999997,0.3,0.4,0.8319327146147055,260.208835,93.47693912641309,1.2863589187485698
130,0.3,0.49999999999999994,0.3,0.4,0.3,0.44999999999999996,0.3,0.4,0.3,0.44999999999999996,0.3,0.4,0.8257094829547131,266.583835,94.50306301514713,1.2793765695602164
131,0.3,0.49999999999999994,0.3,0.4,0.3,0.49999999999999994,0.3,0.4,0.3,0.44999999999999996,0.3,0.4,0.8153215057814417,273.70883499999997,94.3536365570238,1.2855350725834516
132,0.3,0.49999999999999994,0.3,0.4,0.3,0.49999999999999994,0.3,0.4,0.3,0.49999999999999994,0.3,0.4,0.8106588138657902,280.83383499999997,94.90446810969976,1.2821407643021985
133,0.3,0.49999999999999994,0.3,0.45,0.3,0.44999999999999996,0.3,0.45,0.3,0.39999999999999997,0.3,0.45,0.7617825703042511,280.458835,95.06956125270952,1.280126866979578
134,0.3,0.49999999999999994,0.3,0.45,0.3,0.44999999999999996,0.3,0.45,0.3,0.44999999999999996,0.3,0.45,0.7557099684613325,286.833835,96.44386300193767,1.2701661733813077
135,0.3,0.49999999999999994,0.3,0.45,0.3,0.49999999999999994,0.3,0.45,0.3,0.44999999999999996,0.3,0.45,0.7442895132037175,293.95883499999997,96.37517605471437,1.2768693856087914
136,0.3,0.49999999999999994,0.3,0.45,0.3,0.49999999999999994,0.3,0.45,0.3,0.49999999999999994,0.3,0.45,0.7398624701868735,301.08383499999997,97.1880167661199,1.2712677674732171
137,0.3,0.49999999999999994,0.3,0.5,0.3,0.44999999999999996,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.7083409532748876,300.70883499999997,96.30323519678753,1.275591528495688
138,0.3,0.49999999999999994,0.3,0.5,0.3,0.44999999999999996,0.3,0.5,0.3,0.44999999999999996,0.3,0.5,0.7022705503870049,307.08383499999997,98.0231869227728,1.2626608161009372
139,0.3,0.49999999999999994,0.3,0.5,0.3,0.49999999999999994,0.3,0.5,0.3,0.44999999999999996,0.3,0.5,0.6898848165664612,314.20883499999997,98.08074947062966,1.269592991930762
140,0.3,0.49999999999999994,0.3,0.5,0.3,0.49999999999999994,0.3,0.5,0.3,0.49999999999999994,0.3,0.5,0.6856096822191657,321.3338349999999,99.16053602880343,1.2616781597263522
141,0.3,0.49999999999999994,0.3,0.55,0.3,0.44999999999999996,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.6671008045287019,320.958835,97.25146780667905,1.2723908239767636
142,0.3,0.49999999999999994,0.3,0.55,0.3,0.44999999999999996,0.3,0.55,0.3,0.44999999999999996,0.3,0.55,0.6609213375577397,327.333835,99.30811303566566,1.2565872578313038
143,0.3,0.49999999999999994,0.3,0.55,0.3,0.49999999999999994,0.3,0.55,0.3,0.44999999999999996,0.3,0.55,0.6476099707362147,334.458835,99.51591273151693,1.2635239751778584
144,0.3,0.49999999999999994,0.3,0.55,0.3,0.49999999999999994,0.3,0.55,0.3,0.49999999999999994,0.3,0.55,0.6433932402001019,341.583835,100.86082609423629,1.2532957278964678
145,0.3,0.49999999999999994,0.3,0.6,0.3,0.44999999999999996,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.6348836145210384,341.20883499999997,97.9772079223996,1.2701994762528541
146,0.3,0.49999999999999994,0.3,0.6,0.3,0.44999999999999996,0.3,0.6,0.3,0.44999999999999996,0.3,0.6,0.6285280275592761,347.58383499999997,100.35627662658041,1.2516737979039938
147,0.3,0.49999999999999994,0.3,0.6,0.3,0.49999999999999994,0.3,0.6,0.3,0.44999999999999996,0.3,0.6,0.6143221704481762,354.70883499999997,100.72369568715598,1.2584640615485014
148,0.3,0.49999999999999994,0.3,0.6,0.3,0.49999999999999994,0.3,0.6,0.3,0.49999999999999994,0.3,0.6,0.610089922088861,361.83383499999997,102.32770282903937,1.2459829279231585
149,0.35,0.35,0.25,0.5,0.3,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.9289823766588807,222.1433266796875,96.33174797015836,1.2889598589065934
150,0.35,0.35,0.25,0.5,0.3,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.9129711556319116,227.0183266796875,100.43038768450994,1.2577881814397254
151,0.35,0.35,0.25,0.55,0.3,0.3,0.25,0.55,0.25,0.3,0.25,0.55,0.933475112267552,234.1433266796875,96.35749883238005,1.2737162812023108
152,0.35,0.35,0.25,0.55,0.3,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.8882103832974276,239.0183266796875,96.78200459181483,1.2891792222860583
153,0.35,0.35,0.25,0.55,0.3,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.871584688182931,243.8933266796875,101.40392469434182,1.2537791126154112
